run_name,mae,rmse,mape,epochs,batch_size,best_ckpt,final_loss,val_loss,pred_plot
lstm_2x64,1.3072065742094934,1.746673706847856,1.4838196263733963,25,32,results/lstm_2x64.weights.h5,0.0008854317129589617,0.0017272753175348043,
gru_2x64,1.104954959091982,1.4742834544758652,1.2496662311968463,25,32,results/gru_2x64.weights.h5,0.0008916900842450559,0.0012525732163339853,
bilstm_1x64,1.124061765263996,1.4855606766603262,1.269316005375328,25,32,results/bilstm_1x64.weights.h5,0.0007721441215835512,0.0007419383036904037,
rnn_2x64,1.063827785835447,1.4185579440461284,1.2071042655920885,15,32,results/rnn_2x64.weights.h5,0.003181515960022807,0.0013425636570900679,
lstm_deeper,1.863786435240253,2.42545483899017,2.0944864927839406,30,64,results/lstm_deeper.weights.h5,0.0015887439949437976,0.0043709734454751015,
lstm_2x64,1.2764464935230588,1.6791043250962534,1.4443939874666178,25,32,results/lstm_2x64.weights.h5,0.001121233799494803,0.0009277346543967724,
gru_2x64,1.009446849777907,1.3616413914180212,1.1427340601361062,25,32,results/gru_2x64.weights.h5,0.0007719046552665532,0.0009373945067636669,
bilstm_1x64,1.1399770786294419,1.5171192497363628,1.2878182805351899,25,32,results/bilstm_1x64.weights.h5,0.0007864412036724389,0.0009062595199793577,
lstm_2x64,1.3189100621721705,1.7616364939485258,1.4990015061508166,25,32,results/lstm_2x64.weights.h5,0.0010328437201678753,0.0020070630125701427,
gru_2x64,1.096260954584072,1.4558734395531887,1.2388324314740498,25,32,results/gru_2x64.weights.h5,0.0008416073978878558,0.0014334677252918482,
gru_2x64,1.1230185939346926,1.5163987880381475,1.2731100555671504,25,32,results/gru_2x64.weights.h5,0.0008540331036783755,0.0010306027252227068,results/gru_2x64_pred.png
